Métrica,V1 (Baseline),V2 (Circuit Breaker)
Tempo de Resposta Médio (ms),11.29,1.98
Tempo de Resposta P95 (ms),42.49,4.19
Tempo de Resposta P99 (ms),192.1,10.33
Taxa de Requisições Média (req/s),1.0,1.0
Máximo de VUs,500,500
Total de Requisições,45098,45311
--- Circuit Breaker ---,---,---
Falhas HTTP (>=400),45098,0
Falhas Reais (500/503),0,0
Respostas Fallback (202),0,0
Sucessos Reais (200),0,0
Taxa de Erro Real (%),0.0,0.0
Taxa de Fallback (%),0.0,0.0
Taxa de Sucesso Real (%),0.0,0.0
Mudanças de Estado CB,0,1
