Métrica,Valor
N (V1),353639
N (V2),415927
Média (V1),735.05 ms
Média (V2),477.60 ms
Mediana (V1),160.56 ms
Mediana (V2),35.69 ms
Desvio Padrão (V1),1085.40 ms
Desvio Padrão (V2),952.68 ms
P95 (V1),2975.17 ms
P95 (V2),2745.21 ms
P99 (V1),3613.63 ms
P99 (V2),2977.47 ms
Mann-Whitney U,101610477156.50
p-valor (MW),0.00e+00
Kolmogorov-Smirnov,0.3490
p-valor (KS),0.00e+00
Cliff's Delta,0.3816
Interpretação Effect Size,Médio
IC 95% Diferença (baixo),252.84 ms
IC 95% Diferença (alto),262.03 ms
Diferença Significativa (α=0.05),Sim
