scenario,comparison,metric,v1_mean,v1_ci_low,v1_ci_high,v2_mean,v2_ci_low,v2_ci_high,difference,difference_pct,p_value,significant,hypothesis,v4_mean,v4_ci_low,v4_ci_high
indisponibilidade-extrema,v1 vs v2,success_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,H1: CB reduz falhas vs baseline,,,
indisponibilidade-extrema,v1 vs v2,avg_duration_ms,140.94318483649636,140.94318483649636,140.94318483649636,28.523104021386516,28.523104021386516,28.523104021386516,-112.42008081510984,-79.76269370209333,,False,H1: CB reduz falhas vs baseline,,,
indisponibilidade-extrema,v1 vs v2,p95_duration_ms,2003.406990599997,2003.406990599997,2003.406990599997,20.62666674999999,20.62666674999999,20.62666674999999,-1982.780323849997,-98.97042054626043,,False,H1: CB reduz falhas vs baseline,,,
indisponibilidade-extrema,v2 vs v4,success_rate,,,,0.0,0.0,0.0,0.0,0.0,,False,H4: CB+Retry vs CB,0.0,0.0,0.0
indisponibilidade-extrema,v2 vs v4,avg_duration_ms,,,,28.523104021386516,28.523104021386516,28.523104021386516,103.66761256467156,363.45137081483824,,False,H4: CB+Retry vs CB,132.19071658605807,132.19071658605807,132.19071658605807
indisponibilidade-extrema,v2 vs v4,p95_duration_ms,,,,20.62666674999999,20.62666674999999,20.62666674999999,165.0280269999986,800.07123303138,,False,H4: CB+Retry vs CB,185.6546937499986,185.6546937499986,185.6546937499986
falha-catastrofica,v1 vs v2,success_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,H1: CB reduz falhas vs baseline,,,
falha-catastrofica,v1 vs v2,avg_duration_ms,254.2573368275057,254.2573368275057,254.2573368275057,232.62301706344402,232.62301706344402,232.62301706344402,-21.634319764061672,-8.508828116428717,,False,H1: CB reduz falhas vs baseline,,,
falha-catastrofica,v1 vs v2,p95_duration_ms,2484.5883676999997,2484.5883676999997,2484.5883676999997,2449.242949099999,2449.242949099999,2449.242949099999,-35.34541860000081,-1.4225864959965302,,False,H1: CB reduz falhas vs baseline,,,
falha-catastrofica,v2 vs v4,success_rate,,,,0.0,0.0,0.0,0.0,0.0,,False,H4: CB+Retry vs CB,0.0,0.0,0.0
falha-catastrofica,v2 vs v4,avg_duration_ms,,,,232.62301706344402,232.62301706344402,232.62301706344402,16.10946055874612,6.925136111682592,,False,H4: CB+Retry vs CB,248.73247762219015,248.73247762219015,248.73247762219015
falha-catastrofica,v2 vs v4,p95_duration_ms,,,,2449.242949099999,2449.242949099999,2449.242949099999,37.2645734000007,1.5214731316749928,,False,H4: CB+Retry vs CB,2486.5075224999996,2486.5075224999996,2486.5075224999996
