scenario,comparison,metric,v1_mean,v1_ci_low,v1_ci_high,v2_mean,v2_ci_low,v2_ci_high,difference,difference_pct,p_value,significant,hypothesis,v3_mean,v3_ci_low,v3_ci_high,v4_mean,v4_ci_low,v4_ci_high
falha-catastrofica,v1 vs v2,success_rate,0.0,,,0.0,,,0.0,0.0,1.0,False,H1: CB reduz falhas vs baseline,,,,,,
falha-catastrofica,v1 vs v2,avg_duration_ms,242.27809646596947,241.46341441468067,243.85138941792655,235.94037630649535,232.47213941300137,238.4362067112761,-6.337720159474117,-2.6158865584303106,0.007936507936507936,True,H1: CB reduz falhas vs baseline,,,,,,
falha-catastrofica,v1 vs v2,p95_duration_ms,2474.3688610799995,2470.36741232,2482.7023353699997,2457.329624719999,2445.058896119999,2468.6059639999985,-17.03923636000036,-0.6886295987641536,0.05555555555555555,False,H1: CB reduz falhas vs baseline,,,,,,
falha-catastrofica,v1 vs v3,success_rate,0.0,,,,,,0.0,0.0,1.0,False,H2: Retry vs baseline,0.0,,,,,
falha-catastrofica,v1 vs v3,avg_duration_ms,242.27809646596947,241.4652877383112,243.96139884882683,,,,801.196576302997,330.69294665501616,0.007936507936507936,True,H2: Retry vs baseline,1043.4746727689665,985.7862154642769,1064.7036449107466,,,
falha-catastrofica,v1 vs v3,p95_duration_ms,2474.3688610799995,2470.36741232,2482.68737367,,,,159.95228289000033,6.464366950535629,0.007936507936507936,True,H2: Retry vs baseline,2634.32114397,2620.905403099999,2645.58314698,,,
falha-catastrofica,v3 vs v2,success_rate,,,,0.0,,,0.0,0.0,1.0,False,H3: CB vs Retry,0.0,,,,,
falha-catastrofica,v3 vs v2,avg_duration_ms,,,,235.94037630649535,232.47213941300137,238.4362067112761,-807.534296462471,-77.38896952041937,0.007936507936507936,True,H3: CB vs Retry,1043.4746727689665,985.7862154642769,1064.7734090085469,,,
falha-catastrofica,v3 vs v2,p95_duration_ms,,,,2457.329624719999,2445.058896119999,2468.6059639999985,-176.9915192500007,-6.718676637248154,0.007936507936507936,True,H3: CB vs Retry,2634.32114397,2620.905403099999,2645.5831469799996,,,
falha-catastrofica,v2 vs v4,success_rate,,,,0.0,,,0.0,0.0,1.0,False,H4: CB+Retry vs CB,,,,0.0,,
